iter	Logloss
0	0.5954052726
1	0.5471674382
2	0.4810816755
3	0.4294442949
4	0.3954707635
5	0.3509134636
6	0.3255014319
7	0.3026710783
8	0.2760903747
9	0.2627724385
10	0.2507691811
11	0.2406004806
12	0.2281102079
13	0.2133604645
14	0.20226472
15	0.1898404887
16	0.1814225306
17	0.1757055149
18	0.1687890842
19	0.1614502983
20	0.1517620392
21	0.1443276409
22	0.1353089843
23	0.1288440082
24	0.1249550384
25	0.1192770676
26	0.1097554491
27	0.1024051724
28	0.09895552988
29	0.09497925728
30	0.0889996228
31	0.08459676405
32	0.08021387501
33	0.07616020058
34	0.07212128506335	0.06933794413336	0.0661458781537	0.0659515859
38	0.06400687528
39	0.06104439216
40	0.05780400073
41	0.05585465553
42	0.05390067785
43	0.05116831288
44	0.0486911145
45	0.04678313868
46	0.04494260364
47	0.04324972614
48	0.04121314638
49	0.0396899857
50	0.0376910984
51	0.03587704225
52	0.03466497886
53	0.033748339
54	0.03248732015
55	0.03161679759
56	0.02977807285
57	0.02894927851
58	0.0277078968
59	0.02670469238
60	0.02593241384
61	0.02500866088
62	0.02411326773
63	0.02355777557
64	0.02261892574
65	0.02218585532
66	0.02162302442
67	0.02089491038
68	0.02019633574
69	0.01925004199
70	0.01851339957
71	0.01832576641
72	0.01785801495
73	0.01742744368
74	0.01676890861
75	0.01640640787
76	0.01607600653
77	0.01560555172
78	0.01493491357
79	0.01441047582
80	0.01405569979
81	0.01375564425
82	0.01322615012
83	0.01287500565
84	0.01243429243
85	0.01209992429
86	0.01175434453
87	0.01137057802
88	0.01107294704
89	0.01070638218
90	0.01042743919
91	0.01015175329
92	0.009685145752
93	0.009474987853
94	0.009290128329
95	0.009093900938
96	0.00889268072
97	0.008575722119
98	0.008412469964
99	0.008181960754
100	0.007850929662
101	0.007659394082
102	0.007445675552
103	0.007300329597
104	0.007176995171
105	0.007041823431
106	0.006929035526
107	0.006754978496
108	0.006679142793
109	0.00650418269
110	0.006402866262
111	0.00625451744
112	0.006109247977
113	0.005997161949
114	0.005953086016
115	0.005874721392
116	0.005761902386
117	0.005631235525
118	0.005532127367
119	0.005504444323
120	0.005472501665
121	0.005360241313
122	0.005223824931
123	0.005102077721
124	0.005017003983
125	0.004957039644
126	0.004875951857
127	0.00484316473
128	0.004739836038
129	0.004634191306
130	0.004538309155
131	0.004451233404
132	0.004334519757
133	0.004281188874
134	0.004187681367
135	0.004109011727
136	0.003994160281
137	0.00397738088
138	0.003917766121
139	0.003844340202
140	0.003807372567
141	0.003758509193
142	0.003686606165
143	0.003663726653
144	0.00359559999
145	0.003516713298
146	0.003476308335
147	0.003445009617
148	0.003399411422
149	0.003341658285
150	0.003279487637
151	0.003233461556
152	0.003183665341
153	0.003136240921
154	0.003104679506
155	0.003104668548
156	0.003104668548
157	0.003104660959
158	0.00306368259
159	0.00306368259
160	0.00306368259
161	0.003063669387
162	0.003063664297
163	0.003063659872
164	0.003063659872
165	0.00306364116
166	0.003063633974
167	0.003063629951
168	0.003063627314
169	0.00301362922
170	0.003013623076
171	0.003013604806
172	0.002968113027
173	0.002968067119
174	0.0029680542
175	0.002968041082
176	0.00296803104
177	0.002968027217
178	0.002968014234
179	0.002968005535
180	0.002968005535
181	0.002967999858
182	0.002967999858
183	0.002967986018
184	0.002967986018
185	0.002967986018
186	0.002967983867
187	0.002967983867
188	0.002933792488
189	0.002891103635
190	0.002847216306
191	0.002815437618
192	0.002774589509
193	0.002774566984
194	0.002748823608
195	0.002748814108
196	0.002691995442
197	0.002659532214
198	0.002659520648
199	0.002659518646
621
8784
7
